article,finding_id,severity,category,title,artifact_tags,mechanism_tags,source_report,evidence_text
jama.2024.12829,9,Minor,Statistical reporting inconsistency,"Rows marked “Chi-square test” report P=.84 for 12/249 vs 14/252, P=.35 for 7/249 vs 12/252, and P=.02 for 6/249 vs 18/252. Two-sided Fisher exact results are .840916, .350060, and .019621; ordinary Pearson chi-square res",Other main table,Count/percentage arithmetic; P value/test labeling; Footnote/title/caption/legend,jama.2024.12829/.ai_paper_validation/final_report.md,"9. Category: Statistical reporting inconsistency Priority: Minor Location: Supplement PDF p24, Table S11, rows marked footnote c and footnotes c/d. Compared values: Rows marked “Chi-square test” report P=.84 for 12/249 vs 14/252, P=.35 for 7/249 vs 12/252, and P=.02 for 6/249 vs 18/252. Two-sided Fisher exact results are .840916, .350060, and .019621; ordinary Pearson chi-square results are .710285, .253089, and .013126. Basis: Displayed P values reproduce Fisher exact results rather than the stated chi-square method; footnote d separately identifies Fisher testing. Verification: Reproduce both tests and confirm whether the three row markers or P values were entered incorrectly."
jama.2024.19585,1,Minor,Statistical reporting inconsistency,"eTable 10 labels its comparison columns “Difference (95% CI).” For diarrhea documentation among participants with SSPedi score ≥1, it reports 5/26 versus 2/56 and an estimate of 6.43 (95% CI, 1.16–35.74). The eMethods st",Supplementary table,Denominator/population; Count/percentage arithmetic; CI/point-estimate compatibility; Effect measure/model label; Footnote/title/caption/legend,jama.2024.19585/.ai_paper_validation/human_adjudication_report.md,"### 1. Statistical reporting inconsistency — Minor - Location: DOC-003, eTable 10, PDF pp. 13–15; eMethods, PDF p. 22. - Source evidence: eTable 10 labels its comparison columns “Difference (95% CI).” For diarrhea documentation among participants with SSPedi score ≥1, it reports 5/26 versus 2/56 and an estimate of 6.43 (95% CI, 1.16–35.74). The eMethods states that these logistic models estimate odds ratios. - Basis: The crude odds ratio is (5/21) / (2/54) = 6.43. The risk difference is 5/26 - 2/56 = 0.157. The displayed estimate is an odds ratio, not a difference. - Human verification: Compare the eTable 10 headings with the p. 22 eMethods and independently calculate the example odds ratio. Confirm the intended effect-measure label."
jama.2024.19585,2,Minor,Presentation inconsistency,"Figure 2 displays separate Baseline and Week 8 panels, but its unqualified caption states that the participant numbers are 198 in the symptom-screening group and 209 in the usual-care group. Table 2 and the Results repor",Other figure; Other main table,Denominator/population; Footnote/title/caption/legend,jama.2024.19585/.ai_paper_validation/human_adjudication_report.md,"### 2. Presentation inconsistency — Minor - Location: DOC-001, Figure 2, PDF p. 8 / printed p. 1988; Table 2, PDF p. 7 / printed p. 1987; Results, PDF p. 4 / printed p. 1984. - Source evidence: Figure 2 displays separate Baseline and Week 8 panels, but its unqualified caption states that the participant numbers are 198 in the symptom-screening group and 209 in the usual-care group. Table 2 and the Results report baseline denominators of 216 and 213 and week-8 denominators of 198 and 209. - Basis: The global caption supplies only the week-8 denominators for a two-time-point figure. It does not give baseline denominators or state that the baseline panel was restricted to week-8 complete cases. This finding does not establish that any plotted bar is numerically wrong. - Human verification: Compare both Figure 2 panel labels and its caption with the time-specific denominators in Table 2 and the Results. Clarify which denominator applies to each panel."
jama.2024.19585,3,Minor,Presentation inconsistency,"Each eFigure 3 annotation has the form estimate [lower, upper; third value], but the legend defines only the mean difference and 95% CI. The third values—.95, .66, .41, .34, .22, .71, .83, and .45—match the adjusted P va",Supplementary figure; Other figure; Other main table,CI/point-estimate compatibility; P value/test labeling; Effect measure/model label; Summary-statistic/unit label; Footnote/title/caption/legend,jama.2024.19585/.ai_paper_validation/human_adjudication_report.md,"### 3. Presentation inconsistency — Minor - Location: DOC-003, eFigure 3, PDF p. 21; DOC-001, Table 2, PDF p. 7 / printed p. 1987. - Source evidence: Each eFigure 3 annotation has the form estimate [lower, upper; third value], but the legend defines only the mean difference and 95% CI. The third values—.95, .66, .41, .34, .22, .71, .83, and .45—match the adjusted P values for the same PedsQL domains in DOC-001 Table 2. - Basis: The figure displays P values without identifying the third annotation value in the legend. - Human verification: Match each eFigure 3 third value to Table 2's adjusted P-value column and confirm that the legend omits the definition. Add an explicit legend definition if these are the intended P values."
jama.2024.2302,C1,Major,Presentation inconsistency,Abstract misstates the number of infants who underwent operative repair,Narrative/abstract; Table 1/baseline; Flow diagram,Denominator/population; Count/percentage arithmetic; Participant-flow wording,jama.2024.2302/.ai_paper_validation/final_report.md,"### C1 — Abstract misstates the number of infants who underwent operative repair - Category / severity: Presentation inconsistency — Major. - Exact location: jama_blakely_2024_oi_240020_1710443209.74411.pdf, PDF p. 1 (journal p. 1035), Abstract—Results; compared with PDF p. 3 (Figure 1), p. 4 (Surgery Characteristics), p. 5 (Surgery Characteristics and Table 1). - Compared values/statements: Abstract: “320 underwent operative repair.” Surgery Characteristics: 152/163 early and 129/157 late underwent repair. Figure 1: (147 + 5) early and (90 + 39) late repairs. Table 1 postwithdrawal denominators: 163 early and 157 late. - Calculation / logical basis: 152 + 129 = 281; Figure 1 independently gives (147 + 5) + (90 + 39) = 281. The abstract’s 320 equals the postwithdrawal cohort: 163 + 157 = 320 and 338 - 9 - 9 = 320, not the reported repair total. - Verification instruction: Read the PDF p. 1 abstract sentence; sum repair counts on pp. 4-5 or Figure 1 branches on p. 3; compare with the Table 1 postwithdrawal total."
jama.2024.2302,C3,Minor,Participant flow inconsistency,Figure 1 omits explicit withdrawal/exclusion branches needed to reconcile primary-analysis populations,Narrative/abstract; Flow diagram; Other main table,Denominator/population; Count/percentage arithmetic; Participant-flow wording,jama.2024.2302/.ai_paper_validation/final_report.md,"### C3 — Figure 1 omits explicit withdrawal/exclusion branches needed to reconcile primary-analysis populations - Category / severity: Participant flow inconsistency — Minor. - Issue in one sentence: Figure 1 contains a 9-infant category in each randomized arm, but labels it only as “Did not undergo treatment as randomized” and does not explicitly identify those infants as postrandomization withdrawals who were excluded from the primary analysis. Consequently, the figure alone does not fully explain the transition from the randomized populations (172 and 166) to the primary-analysis populations (159 and 149). - Exact source locations and statements: | Source location | Reported statement or value | Relevance to participant flow | |---|---|---| | jama_blakely_2024_oi_240020_1710443209.74411.pdf, PDF p. 3 (journal p. 1037), Figure 1, early arm | 172 Randomized; 163 Received treatment as randomized; 9 Did not undergo treatment as randomized; 4 Lost to follow-up; 159 Included in primary analysis | The figure displays the matching 9-infant category but does not call it a withdrawal or show it leaving the analysis pathway through a separate exclusion branch. | | Same figure, late arm | 166 Randomized; 157 Received treatment as randomized; 9 Did not undergo treatment as randomized; 8 Lost to follow-up; 149 Included in primary analysis | The same labeling and branch omission occurs in the late arm. | | PDF p. 4 (journal p. 1038), Results—Patient Characteristics | “After randomization, 9 infants were withdrawn from each treatment group ... leaving 163 in the early ... group and 157 in the late ... group.” | The Results text identifies the two 9-infant categories as postrandomization withdrawals, not merely as treatment nonadherence. | | PDF p. 4, Statistical Analysis | The intention-to-treat analyses included all randomized infants “except those withdrawn from the study.” | This statement establishes that withdrawal determined analysis exclusion. Failure to receive treatment as randomized, by itself, does not state whether a participant was excluded from analysis. | | PDF p. 6 (journal p. 1040), Table 2 note a | “Excludes 9 infants (in each group) who were withdrawn after randomization and 12 who were lost to follow-up (4 in the early repair group and 8 in the late repair group).” | The table note explicitly distinguishes withdrawal from loss to follow-up and identifies both as reductions from the randomized populations to the primary-analysis populations. | - Arm-level reconciliation: | Arm | Randomized | Postrandomization withdrawals | Remaining after withdrawal | Lost to follow-up | Included in primary analysis | |---|---:|---:|---:|---:|---:| | Early repair | 172 | 9 | 172 - 9 = 163 | 4 | 163 - 4 = 159 | | Late repair | 166 | 9 | 166 - 9 = 157 | 8 | 157 - 8 = 149 | | Total | 338 | 18 | 320 | 12 | 308 | - Why the figure is incomplete: If a reader follows only the explicitly labeled postallocation exclusion boxes in Figure 1, the visible calculations would be 172 - 4 = 168 and 166 - 8 = 158, which do not produce the displayed analysis totals of 159 and 149. Reconciliation requires the unstated additional step of treating each “9 Did not undergo treatment as randomized” category as a postrandomization withdrawal excluded from analysis. The Results text and Table 2 note supply that information, but Figure 1 does not. - Why the terminology matters: “Did not undergo treatment as randomized” describes treatment receipt or adherence, whereas “withdrawn after randomization and excluded from analysis” describes study/analysis status. A participant may deviate from assigned treatment yet remain in the randomized analysis group; therefore, the Figure 1 wording does not independently communicate the analysis exclusion documented elsewhere in the article. - Nature and limit of the finding: This is a flow-label/branch omission, not an arithmetic error. The final primary-analysis counts are internally reconcilable and agree with Table 2. The issue is Minor because the missing status is recoverable from the Results text and Table 2 note and does not, by itself, demonstrate that the outcome calculations or trial conclusion are incorrect. - Suggested figure clarification: Add a separate branch in each arm labeled Withdrawn after randomization and excluded from primary analysis (n = 9), followed by Remaining after withdrawal (n = 163 early; n = 157 late), before the Lost to follow-up and Included in primary analysis boxes. - Verification instruction: On PDF p. 3, trace each arm from randomization to the primary-analysis box and note that only loss to follow-up is explicitly shown as a subsequent exclusion. Then compare the two 9-infant categories with the explicit withdrawal statement on PDF p. 4 and the exclusion wording in Table 2 note a on PDF p. 6; verify 172 - 9 - 4 = 159 and 166 - 9 - 8 = 149."
jama.2024.2302,C5,Minor,Presentation inconsistency,Enrollment-details cross-reference incorrectly includes outcome-analysis eTable 2,Narrative/abstract; Supplementary table; Flow diagram,Denominator/population; Count/percentage arithmetic; CI/point-estimate compatibility; P value/test labeling; Effect measure/model label; Cross-reference/citation; Participant-flow wording; Footnote/title/caption/legend,jama.2024.2302/.ai_paper_validation/final_report.md,"### C5 — Enrollment-details cross-reference incorrectly includes outcome-analysis eTable 2 - Category / severity: Presentation inconsistency — Minor. - Issue in one sentence: In the Patient Characteristics section, the article directs readers seeking “additional enrollment details” to “eTables 1-2,” but only eTable 1 contains the referenced enrollment, eligibility, and refusal information; eTable 2 reports frequentist primary and secondary outcome analyses. - Exact source locations and statements: | Source location | Reported statement or content | Relevance to the cross-reference | |---|---|---| | Main article, jama_blakely_2024_oi_240020_1710443209.74411.pdf, PDF p. 4 (journal p. 1038), Results—Patient Characteristics | After reporting why 613 parents or guardians refused participation, the text states that “additional enrollment details appear in eTables 1-2” and separately states that randomization-by-site details appear in eTable 3. | The plural range “eTables 1-2” represents the cross-reference under review and indicates that both eTable 1 and eTable 2 provide additional enrollment information. | | Results supplement, joi240020supp3_prod_1710443209.75411.pdf, PDF pp. 2-4, eTable 1 | Title: “Additional information related to trial enrollment.” The table lists factors affecting eligibility or repair timing, reasons for refusal by parents/guardians (n = 613), reasons for refusal by physicians (n = 37), and other reasons eligible infants were not consented (n = 16). | This table directly supplies the additional enrollment and nonparticipation details promised by the main-text citation. | | Results supplement, PDF p. 5, eTable 2 | Title: “Frequentist primary and major secondary outcome analyses.” It reports serious-adverse-event counts (44/159 early vs 27/149 late), risk difference, relative risk, confidence intervals, P values, hospital-day summaries, and the fitted statistical models. | These are outcome-analysis results, not the enrollment and refusal details discussed in the cited Patient Characteristics paragraph. | | Main article, PDF p. 3 (journal p. 1037), Figure 1 note b | “Additional information appears in eTable 1 in Supplement 3.” | Figure 1 directs the same type of enrollment information to eTable 1 alone, consistent with the supplement’s actual contents. | | Main article, PDF p. 6 (journal p. 1040), Primary Outcome | “The frequentist analyses were consistent with these findings (eTable 2 in Supplement 3).” | This is the content-appropriate cross-reference for eTable 2 and confirms its role as an outcome-analysis table. | - Content-to-reference comparison: | Information sought by the reader | eTable 1 | eTable 2 | |---|:---:|:---:| | Additional trial-enrollment information | Yes | No | | Reasons for parent/guardian refusal | Yes | No | | Reasons for physician refusal | Yes | No | | Other reasons eligible infants were not consented | Yes | No | | Primary serious-adverse-event outcome analysis | No | Yes | | Major secondary hospital-days analysis | No | Yes | | Frequentist effect estimates, confidence intervals, and P values | No | Yes | - Direct numerical linkage to the cited paragraph: The Patient Characteristics paragraph summarizes the 613 parent/guardian refusals as 280 preferring early repair, 196 preferring late repair, 71 preferring that the clinician decide, and 66 giving other reasons. eTable 1 reproduces and expands this exact enrollment breakdown, and the components reconcile as 280 + 196 + 71 + 66 = 613. eTable 2 does not report these values or any comparable refusal breakdown. - Why the cross-reference is mismatched: The phrase “additional enrollment details appear in eTables 1-2” assigns an enrollment-information function to both tables in the cited range. The source package supports that function for eTable 1 but not for eTable 2. The correct semantic mapping is enrollment/refusal details -> eTable 1 and frequentist outcome analyses -> eTable 2. - Qualification regarding text below eTable 2: A short paragraph below eTable 2 describes participating centers and notes that site-level randomization counts are provided below. It does not provide the enrollment-refusal breakdown discussed in the Patient Characteristics paragraph. Moreover, the main article separately directs randomization-by-site details to eTable 3. This paragraph therefore does not resolve the mismatch between “additional enrollment details” and the substantive contents of eTable 2. - Nature and limit of the finding: This is a cross-reference/presentation error, not a numerical or statistical-result error. eTable 1—the correct destination—is already included in the printed citation, so a reader can still locate the relevant information. eTable 2 itself is not erroneous and is correctly cited elsewhere for the frequentist outcome analyses. These factors support Minor severity. - Suggested correction: Replace “additional enrollment details appear in eTables 1-2” with “additional enrollment details appear in eTable 1.” A fully clarified sentence would distinguish the destinations as follows: Additional enrollment details appear in eTable 1, and details of randomization by study site appear in eTable 3 in Supplement 3. - Verification instruction: Read the cross-reference in the Patient Characteristics paragraph on main-article PDF p. 4. Compare it with the titles and substantive rows of eTable 1 on supplement PDF pp. 2-4 and eTable 2 on supplement PDF p. 5. Confirm that the enrollment/refusal counts summarized in the main text occur in eTable 1, while eTable 2 contains frequentist outcome analyses; then confirm that Figure 1 note b cites eTable 1 alone and that the Primary Outcome text on main-article PDF p. 6 cites eTable 2 for its appropriate purpose."
jama.2024.240147,F1,Major,Participant flow inconsistency,"The Abstract describes 733 restrictive and 724 liberal participants as randomly assigned. Key Points describes 1508 participants as randomized. Figure 1 shows 1979 randomized participants: 983 restrictive, 994 liberal, a",Narrative/abstract; Flow diagram,Denominator/population; Participant-flow wording,jama.2024.240147/.ai_paper_validation/final_report.md,"### F1 - Participant flow inconsistency - Major - Location: DOC-001 p. 1, Abstract; p. 2, Key Points; p. 3, Figure 1 and Trial Population. - Compared statements: The Abstract describes 733 restrictive and 724 liberal participants as randomly assigned. Key Points describes 1508 participants as randomized. Figure 1 shows 1979 randomized participants: 983 restrictive, 994 liberal, and 2 lost envelopes. - Basis: 750 - 17 = 733 and 758 - 34 = 724, so 733 and 724 are analyzed populations. Also, 750 + 758 = 1508, so 1508 is the intervention-stage population, not the randomized population. - Verification: Reconcile and label the population stage used in the Abstract, Key Points, Trial Population, and Figure 1."
jama.2024.240147,F2,Minor,Arithmetic inconsistency,"Restrictive: 335/750 is 44.7%, reported 44.4%; 173/750 is 23.1%, reported 22.9%; 92/750 is 12.3%, reported 12.2%; 50/750 is 6.7%, reported 7.2%. Liberal: 348/758 is 45.9%, reported 45.7%; 177/758 is 23.4%, reported 23.2%",Supplementary table,Denominator/population; Count/percentage arithmetic; Summary-statistic/unit label,jama.2024.240147/.ai_paper_validation/final_report.md,"### F2 - Arithmetic inconsistency - Minor - Location: DOC-003 p. 14, eTable 1, receiving trauma center. - Compared values: Restrictive: 335/750 is 44.7%, reported 44.4%; 173/750 is 23.1%, reported 22.9%; 92/750 is 12.3%, reported 12.2%; 50/750 is 6.7%, reported 7.2%. Liberal: 348/758 is 45.9%, reported 45.7%; 177/758 is 23.4%, reported 23.2%; 93/758 is 12.3%, reported 12.2%; 47/758 is 6.2%, reported 6.7%. The 100/750 (13.3%) cell is correct. - Basis: Percentages recalculated from the displayed counts and arm denominators do not match the cited cells. - Verification: Recalculate every receiving-center fraction to one decimal place and correct either the displayed percentages or source counts."
jama.2024.240147,F4,Minor,Arithmetic inconsistency,4/743 is reported as 5.3%.,Supplementary table,Denominator/population; Count/percentage arithmetic,jama.2024.240147/.ai_paper_validation/final_report.md,"### F4 - Arithmetic inconsistency - Minor - Location: DOC-003 p. 15, eTable 2, Walk-in, liberal arm. - Compared values: 4/743 is reported as 5.3%. - Basis: 4/743 = 0.54%, which rounds to 0.5%. - Verification: Confirm the numerator, denominator, and displayed percentage."
jama.2024.240147,F5,Minor,Arithmetic inconsistency,0/747 is reported as 1.1%.,Supplementary table,Denominator/population; Count/percentage arithmetic,jama.2024.240147/.ai_paper_validation/final_report.md,"### F5 - Arithmetic inconsistency - Minor - Location: DOC-003 p. 15, eTable 2, vascular surgery, liberal arm. - Compared values: 0/747 is reported as 1.1%. - Basis: A zero numerator yields 0.0%. - Verification: Confirm the numerator, denominator, and displayed percentage."
jama.2024.240147,F6,Minor,Presentation inconsistency,"An asterisk footnote concerns postdischarge pneumonia, but eTable 6 contains no corresponding row or asterisk marker. The pneumonia topic is linked correctly in eTable 5 with a paragraph-mark footnote.",Supplementary table,Footnote/title/caption/legend,jama.2024.240147/.ai_paper_validation/final_report.md,"### F6 - Presentation inconsistency - Minor - Location: DOC-003 p. 19, eTable 6; comparison with p. 18, eTable 5. - Compared statements: An asterisk footnote concerns postdischarge pneumonia, but eTable 6 contains no corresponding row or asterisk marker. The pneumonia topic is linked correctly in eTable 5 with a paragraph-mark footnote. - Basis: The footnote is orphaned within eTable 6. - Verification: Confirm the intended table, row, and marker, then place, revise, or remove the footnote."
jama.2024.240147,F7,Minor,Cross-document inconsistency,The liberal arm fraction 48/473 is reported as 9.2% in eTable 7 and 10.1% in Figure 4.,Supplementary table; Other figure,Denominator/population; Count/percentage arithmetic; Summary-statistic/unit label,jama.2024.240147/.ai_paper_validation/final_report.md,"### F7 - Cross-document inconsistency - Minor - Location: DOC-003 p. 20, eTable 7, AIS <3; DOC-001 p. 8, Figure 4. - Compared values: The liberal arm fraction 48/473 is reported as 9.2% in eTable 7 and 10.1% in Figure 4. - Basis: 48/473 = 10.15%, which rounds to 10.1%. The package does not establish an alternative denominator. - Verification: Confirm that 48 and 473 are the intended values and reconcile the two displays."
jama.2024.240147,F8,Minor,Cross-document inconsistency,The liberal arm fraction 14/69 is reported as 20.2% in eTable 7 and 20.3% in Figure 4.,Supplementary table; Other figure,Denominator/population; Count/percentage arithmetic; Summary-statistic/unit label,jama.2024.240147/.ai_paper_validation/final_report.md,"### F8 - Cross-document inconsistency - Minor - Location: DOC-003 p. 20, eTable 7, lung disease yes; DOC-001 p. 8, Figure 4. - Compared values: The liberal arm fraction 14/69 is reported as 20.2% in eTable 7 and 20.3% in Figure 4. - Basis: 14/69 = 20.29%, which rounds to 20.3%. - Verification: Confirm the shared numerator and denominator and harmonize the percentage."
jama.2024.240147,F9,Minor,Presentation inconsistency,"eTable 10 reports 55/750 (45%) and 67/758 (55%). The counts total 122 and the displayed percentages are based on 122, not on 750 and 758. Figure 1 reports 59 and 71, totaling 130.",Supplementary table; Flow diagram,Denominator/population; Count/percentage arithmetic; Summary-statistic/unit label; Participant-flow wording; Footnote/title/caption/legend,jama.2024.240147/.ai_paper_validation/final_report.md,"### F9 - Presentation inconsistency - Minor - Location: DOC-003 p. 24, eTable 10, N = 130 row; DOC-001 p. 3, Figure 1. - Compared values: eTable 10 reports 55/750 (45%) and 67/758 (55%). The counts total 122 and the displayed percentages are based on 122, not on 750 and 758. Figure 1 reports 59 and 71, totaling 130. - Basis: The four-per-arm difference matches the Swiss-law withdrawals in Figure 1, but their omission from eTable 10 is undocumented. The second eTable row explicitly documents missing assignments, underscoring the mixed convention. This finding does not characterize participants as lost. - Verification: Clarify the row eligibility, exclusion, and percentage-denominator convention and revise the heading, fractions, or footnote accordingly."
