key,year,package,id,title,category,primary,relations,evidence_state,plan_discrepancy_mechanism,broad_plan_involved,submission_involved,current_report_cross_document,additional_sensitivity_exclude,rationale,ambiguity,duplicate_of,reportPath,line,evidence_paths
2018::jama.2018.0156::C005,2018,jama.2018.0156,C005,"PP ROSC ETI percentage conflicts with its count, denominator, and signed difference","Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,The ETI PP ROSC percentage conflicts with its numerator/denominator and signed BMV-minus-ETI contrast. The focal mismatch is within the main article.,,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,170,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.0156::C006,2018,jama.2018.0156,C006,Main article and eTable report different contributing-centre counts,Cross-document numeric inconsistency,S_C,"[""S_C""]",recorded_candidate,,False,True,True,False,The article reports 20 EMS centres whereas eTable 1 shows 21 contributing investigator-centre rows. The focal comparison is the main article versus a non-plan results supplement.,Twenty EMS centres versus 21 investigator-centre rows may reflect different counting units; no centre-to-investigator crosswalk is supplied.,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,203,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.0156::C007,2018,jama.2018.0156,C007,Published primary-endpoint description omits the amended baseline-disability qualification,"Measure, label, or scale inconsistency",P_R,"[""P_R""]",recorded_candidate,endpoint_definition_window_hierarchy,True,False,True,False,"The main article defines favorable outcome as CPC 1 or 2, while a supplied amended protocol also qualifies baseline-disabled survivors whose disability is unchanged. The potential outcome-definition difference is directly report versus amended plan.",An abbreviated article definition or no affected participants could reconcile the result; aggregate counts cannot establish actual coding or count changes.,,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,236,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2018.0156::C008,2018,jama.2018.0156,C008,Protocol composite technique-failure definition cannot reconcile with the article’s smaller ETI failure count if they are the same endpoint,"Measure, label, or scale inconsistency",P_R,"[""P_R""]",record_input_error,endpoint_definition_window_hierarchy,True,False,True,True,"A supplied amended protocol defines technique failure as a composite including mortality/regurgitation/procedural failure, while the main Table 3 ETI failure row reports 21/996 without that composite definition. This is a conditional report-versus-plan endpoint/population mismatch.","The failure row may intentionally be procedural-only and uses actual-treatment safety data. The 27-versus-21 aggregate bound assumes participant-set alignment; recheck expressly says that assumption is not mechanically established. Additional source-derivative check: the final card and recheck call 54/1022 ETI deaths, but main native text explicitly labels 54/1022 day-28 survival. Thus the recorded 27-versus-21 mortality bound uses a mislabeled input and is not source-confirmed; the document-role endpoint-definition comparison is retained. Exact main-abstract derivative wording: global survival at day 28 (55/1018 [5.4%] in the BMV group vs 54/1022 [5.3%] in the ETI group).",,2018/jama.2018.0156/.ai_paper_validation/final_report_1_5_2.md,269,"[""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md"", ""2018/jama.2018.0156/.ai_paper_validation/review_1_5_2/preprocessing/native_text/jama_jabre_2018_oi_180004.txt""]"
2018::jama.2018.0948::C001,2018,jama.2018.0948,C001,Inclusive versus exclusive fluid threshold in the SCD definition,"Measure, label, or scale inconsistency",P_R,"[""P_R"", ""S_C""]",recorded_candidate,endpoint_definition_window_hierarchy,True,True,True,False,"The main article uses fluid >=60 mL/kg, while protocol Table 5 and the non-plan results-supplement eTable use >60 for the same SCD component. The article is discrepant with both the plan and ordinary results supplement.",Mixed reported-versus-plan and submitted cross-file definition discrepancy; operative rule and any exact-boundary cases are unknown.,,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,65,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md""]"
2018::jama.2018.0948::C002,2018,jama.2018.0948,C002,Mortality absolute-risk-reduction percent/unit conflict,Cross-document numeric inconsistency,P_P,"[""P_P""]",recorded_candidate,,True,False,False,False,"The protocol appendix gives 0.9% for an approximately 18% reduction from 5.1 deaths/1000, whereas other passages in the same protocol give 0.9/1000 or 0.09%. The article repeats the coherent planning value and corroborates the internal plan unit-conversion defect; it is not counted as a separate plan-versus-report change.","Boundary decision: P_P only. Counting every transitive numerical disagreement would also involve the article, but the recorded issue is the internal planning percent/unit typo.",,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,98,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md""]"
2018::jama.2018.0948::C003,2018,jama.2018.0948,C003,Cardiac-arrest events assigned incompatible resuscitation-scale categories,"Measure, label, or scale inconsistency",P_P,"[""P_P""]",recorded_candidate,,True,False,False,False,"Cardiac-arrest events are described as categories 6/7 but a Table 6 legend calls events including cardiac arrest 4/5. The focal discrepancy is internal to the protocol/SAP material, including plan-version passages in a bound bundle.",,,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,131,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md""]"
2018::jama.2018.0948::C004,2018,jama.2018.0948,C004,Preventability threshold excludes and includes rating 4,"Measure, label, or scale inconsistency",P_P,"[""P_P""]",recorded_candidate,,True,False,False,False,"Protocol p11 says >4 and immediately lists ratings 4, 5, 6; its own Table 7 says >=4. The main article and results supplement corroborate the inclusive list. The focal operator/list contradiction is internal to the protocol.",Boundary decision: P_P only; final reporting corroborates the internally stated >=4 rule. The actual rating-4 event classification is unknown.,,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,164,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md""]"
2018::jama.2018.0948::C005,2018,jama.2018.0948,C005,The same SCDE reference count is labelled annual and two-year,"Denominator, proportion, or total inconsistency",P_B,"[""P_B""]",recorded_candidate,,True,False,False,False,"The same historical Ontario four-hospital 1052 urgent ICU/PICU admissions count is called annual in protocol power-assumption text and two-year in the historical reference-data appendix. The conflicting quantity is a prior-data observation period reused as a planning input, so P_B distinguishes it from the current trial plan or report.","Historical evidence inside protocol. The p14 planning context uses this historical count, but the candidate does not independently challenge a prospective power calculation. Year-stratified data are absent.",,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,197,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/preprocessing/native_text/joi180015supp1_prod.txt""]"
2018::jama.2018.0948::C006,2018,jama.2018.0948,C006,Stat-call absolute reduction does not reproduce from the printed inputs,Numeric or arithmetic inconsistency,P_P,"[""P_P""]",recorded_candidate,,True,False,False,False,"The printed stat-call absolute reduction does not reproduce from the displayed baseline rate and relative reduction. The focal discrepancy is internal to the protocol/SAP material, including plan-version passages in a bound bundle.",,,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,230,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md""]"
2018::jama.2018.0948::C007,2018,jama.2018.0948,C007,Urgent PICU admission rates do not match the printed counts and denominators at conventional rounding,"Denominator, proportion, or total inconsistency",P_B,"[""P_B""]",recorded_candidate,,True,False,False,False,"The protocol Sample Size Appendix reproduces Ontario 2007-8 historical data attributed to the Kotsakis 2009 collaborative report: 1052 admissions, denominators 7300/55963, and rates 14.5%/18 per 1000. The rates do not round from those historical integers. This is P_B background data inside the protocol, not current trial reported-versus-planned results.","Historical reference-table data can be planning inputs, but this candidate targets the pre-existing counts/rates themselves. The original external report was not obtained for new adjudication.",,2018/jama.2018.0948/.ai_paper_validation/final_report_1_5_2.md,263,"[""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/candidate_ledger.md"", ""2018/jama.2018.0948/.ai_paper_validation/review_1_5_2/preprocessing/native_text/joi180015supp1_prod.txt""]"
2018::jama.2018.14280::C001,2018,jama.2018.14280,C001,Reversed endpoint in the eTable 2 PEEP interquartile range,Numeric or arithmetic inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,The intermediate-arm PEEP value 8 (5-1) is incompatible with the table's median (IQR) definition. The focal mismatch is within one non-plan results supplement.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,56,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C002,2018,jama.2018.14280,C002,At-risk-for-ARDS percentages use undisclosed denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Printed percentages do not reproduce from Table 1 arm headers, while smaller denominators reproduce them. The focal mismatch is within the main article.",,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,89,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C003,2018,jama.2018.14280,C003,Septic-shock percentages use undisclosed denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,The displayed septic-shock percentages do not reproduce from the Table 1 arm headers. The focal mismatch is within the main article.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,122,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C004,2018,jama.2018.14280,C004,Tobacco-use categories use undisclosed denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Tobacco-use counts and percentages reconcile to 475/482 rather than the 477/484 arm headers. The focal mismatch is within the main article.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,155,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C005,2018,jama.2018.14280,C005,Alcohol-use categories use undisclosed denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Alcohol-use counts and percentages reconcile to 475/482 rather than Table 1 arm headers. The focal mismatch is within the main article.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,188,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C006,2018,jama.2018.14280,C006,ICU-admission categories use undisclosed denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Surgical/medical ICU-admission counts and percentages reconcile to 475/482 rather than arm headers. The focal mismatch is within the main article.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,221,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C007,2018,jama.2018.14280,C007,Sedative-infusion percentages omit effective denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Sedative-infusion percentages reproduce from unprinted 453/462 denominators, not arm headers. The focal mismatch is within one non-plan results supplement.",,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,254,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C008,2018,jama.2018.14280,C008,Analgesic-infusion percentages omit effective denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Analgesic-infusion percentages reproduce from unprinted 453/462 denominators, not arm headers. The focal mismatch is within one non-plan results supplement.",,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,287,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C009,2018,jama.2018.14280,C009,Neuromuscular-blockade percentages omit effective denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Neuromuscular-blockade percentages reproduce from unprinted 453/462 denominators, not arm headers. The focal mismatch is within one non-plan results supplement.",,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,320,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C010,2018,jama.2018.14280,C010,Vasopressor-use percentages omit effective denominators,"Denominator, proportion, or total inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,"Vasopressor-use percentages reproduce from 454/462, not displayed arm headers. The focal mismatch is within one non-plan results supplement.",,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,353,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C011,2018,jama.2018.14280,C011,Mortality effect-measure wording conflicts with Table 2 and the SAP,"Measure, label, or scale inconsistency",S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Main Methods broadly assigns mortality Cox HRs while main Table 2 labels ICU/hospital mortality RR. The SAP agrees with Table 2 and is corroboration of a Methods-versus-results wording discrepancy inside the main article.,The Methods sentence may intend only time-indexed 28/90-day mortality. No independent report-versus-plan departure is counted merely because SAP wording supports the table.,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,386,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
2018::jama.2018.14280::C012,2018,jama.2018.14280,C012,ICU-mortality RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed ICU-mortality RR 1.11 does not reproduce as the crude low/intermediate ratio from displayed risks. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,419,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C013,2018,jama.2018.14280,C013,Hospital-mortality RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed hospital-mortality RR 1.06 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,452,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C014,2018,jama.2018.14280,C014,ARDS RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed ARDS RR 0.86 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,485,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C015,2018,jama.2018.14280,C015,Pneumonia RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed pneumonia RR 1.07 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,518,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C016,2018,jama.2018.14280,C016,Pneumothorax RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed pneumothorax RR 1.16 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,551,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C017,2018,jama.2018.14280,C017,Atelectasis RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed atelectasis RR 1.00 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,584,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C018,2018,jama.2018.14280,C018,Extrapulmonary-infection RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed extrapulmonary-infection RR 0.84 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,617,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C019,2018,jama.2018.14280,C019,Extrapulmonary-sepsis RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed extrapulmonary-sepsis RR 0.87 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,650,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C020,2018,jama.2018.14280,C020,Delirium RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed delirium RR 1.15 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,683,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C021,2018,jama.2018.14280,C021,Tracheostomy RR does not reproduce from printed risks,Statistical reporting inconsistency,S_W,"[""S_W""]",recorded_candidate,,False,True,False,False,Printed tracheostomy RR 1.03 does not reproduce from displayed risks under the crude comparator. The focal mismatch is within the main article.,"Diagnostic comparison assumes the printed RR is crude; the exact estimator, weighting, or analysis population is not supplied. These are separate outcome rows, not proven instances of a single underlying coding error.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,716,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C022,2018,jama.2018.14280,C022,The same subgroup intervals are labelled IQR and 95% CI,"Measure, label, or scale inconsistency",S_C,"[""S_C""]",recorded_candidate,,False,True,True,False,Identical subgroup intervals are labelled IQR in the main text and 95% CI in eTable 5. The focal comparison is the main article versus a non-plan results supplement.,,,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,749,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md""]"
2018::jama.2018.14280::C023,2018,jama.2018.14280,C023,Enrollment completion dates differ by two days,Cross-document numeric inconsistency,P_R,"[""P_R""]",recorded_candidate,population_recruitment_sites,True,False,True,False,"The main article gives August 20, 2017 as enrollment end, whereas the supplied SAP/update gives August 22, 2017. This is a main-report versus SAP factual date discrepancy, rather than an ordinary results-supplement discrepancy.","The SAP is an update after enrollment; clinical last-patient date versus administrative completion could explain the two days. P_R denotes document roles, not a proven prospective-plan violation.",,2018/jama.2018.14280/.ai_paper_validation/final_report_1_5_2.md,782,"[""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/source_inventory.md"", ""2018/jama.2018.14280/.ai_paper_validation/review_1_5_2/verification/evidence_recheck.md""]"
